,0,1
70_-40_5_0,-7.766160850123124,-6.966520154619152
70_-50_6_0,-4.1052770364293245,-4.387542873654447
60_-50_7_0,-38.660045327743866,-33.62095495430165
60_-60_8_0,-103.3822546399525,-105.15026540649441
50_-70_9_0,-682.6300000000148,-291.83037327316043
50_-80_10_0,-1388.937425912578,-708.8525775367812
210_-20_-7_0,-0.0009237415400748693,-0.001974026829522464
140_0_-3_0,-0.0035951048505769244,-0.003953778038120417
140_0_-2_0,-0.0040445711600009095,-0.006424329850504327
140_0_1_0,-0.006305194999831168,-0.06791944805066782
140_0_2_0,-0.004771618592772807,-0.06516757153730121
140_-20_6_0,-0.005266823749862006,-0.005045957282955431
130_-50_-9_0,-0.00014218544617389828,-0.0004981163961572748
130_-40_-8_0,-0.003060416924115441,-0.0031646069231719733
130_-30_-7_0,-0.009832013112394575,-0.018505068288802266
120_-30_-6_0,0.0,0.0
120_-20_-5_0,-0.023220350723348132,-0.04673928598792179
110_-20_-4_0,-0.0999052832843077,-0.24369500700112665
110_-10_-3_0,-0.11328792228830786,-0.9372181248193274
110_-10_-2_0,-0.12397664356161137,-1.4702039017504807
100_-10_-1_0,-0.33419876306978447,-0.8567441243229079
100_-10_0_0,-0.30983374332373426,-0.32918881217598406
90_-10_1_0,-0.36088687874099173,-0.5135991705031413
90_-10_2_0,-0.3930356744571455,-1.4449344907213866
90_-20_3_0,-0.2567458266329719,-0.293634600908576
80_-20_4_0,-0.3572251809473957,-0.3702107201922848
80_-30_5_0,-0.44053450975261677,-0.43089193159767947
70_-30_6_0,-1.251455593452143,-1.5238203494961198
70_-40_7_0,-0.12638326814316686,-0.8689588832765468
70_-50_8_0,-1.558527958421849,-1.339902188085218
60_-60_9_0,-12.71844190090675,-6.302686120082679
60_-70_10_0,-88.38278370398969,-529.0300000001454
50_-70_-9_0,-134.6052643461416,-157.74323056165994
50_-60_-8_0,-151.2870054762243,-169.13731427351073
40_-50_-7_0,-421.0286696186723,-608.1316751279076
40_-50_-6_0,-326.31109490222406,-326.19731416802153
30_-40_-5_0,-684.1668043135753,-771.8125783042065
30_-40_-4_0,-505.8239824896157,-688.9890642079226
30_-30_-3_0,-478.5012126468243,-706.0554677908083
280_20_-9_0,-0.0006799160320144419,-0.0007665589208093475
280_30_-8_0,-0.0007681519579660431,-0.0012981342199753104
280_50_-4_0,-0.0008693021984862706,-0.0012521084873388963
280_50_3_0,-0.00369870789891255,-0.0037041351323629803
210_30_7_0,-0.008696350157413314,-0.008371639573565884
210_20_8_0,-0.0013202466836140048,-0.003676105172698789
210_-30_-7_0,-0.0008400258545337854,-0.0010000802178949612
210_-20_-6_0,-0.0008351875597037397,-0.002066429774877158
210_-20_-5_0,-0.0006484825572459856,-0.0014096252052061015
140_-60_-9_0,-9.17206196937195e-05,-9.878813968080944e-05
140_-50_-8_0,-0.00012982966105778564,-0.0004668116930221283
130_-40_-7_0,0.0,0.0
130_-30_-6_0,-1.593793113136008e-05,-3.859654823053559e-06
130_-30_-5_0,-1.0894800811514046e-05,-7.029801859117918e-06
120_-30_-4_0,0.0,0.0
120_-20_-3_0,-5.0450405179393754e-11,-0.0007868134855545288
110_-20_-2_0,0.0,0.0
110_-20_-1_0,0.0,0.0
110_-20_0_0,-0.00031887646479677957,-0.026210939485766093
100_-20_1_0,-0.08394578081787048,-0.24078984803562295
100_-20_2_0,-0.021182176881051156,-0.36156173705030337
90_-30_3_0,-0.09808935142688506,-0.0748815741044427
90_-30_4_0,-0.19926191270190818,-0.18660429564510989
90_-30_5_0,-0.7341062083753536,-0.8313679223632349
